Abdur Razzak,16/04/2008,PAK,Multan Cricket Stad.,ODI,lbw b Shoaib Malik         ,   7,13.57,28,25.0,0
Abdur Razzak,19/04/2008,PAK,National Stadium    ,ODI,c Younis Khan b Wahab Riaz ,  33,14.45,40,82.5,0
Abdur Razzak,8/06/2008 ,PAK,Shere Bangla Stadium,ODI,not out                    ,26,15.64,25,104.0,1
Abdur Razzak,12/06/2008,IND,Shere Bangla Stadium,ODI,not out                    ,8,16.00, 8,100.0,1
Abdur Razzak,24/06/2008,UAE,Gaddafi Stadium     ,ODI, DNB,0,16.00,0,0,0
Abdur Razzak,25/06/2008,SRL,Gaddafi Stadium     ,ODI,not out                    ,22,17.00,23,95.652173913,1
Abdur Razzak,28/06/2008,IND,National Stadium    ,ODI, DNB,0,17.00,0,0,0
Abdur Razzak,30/06/2008,SRL,National Stadium    ,ODI,b M Muralitharan           ,   7,16.57,14,50.0,0
Abdur Razzak,4/07/2008 ,PAK,National Stadium    ,ODI,b Saeed Ajmal              ,   9,16.25,15,60.0,0
Abdur Razzak,30/08/2008,AUS,Marrara Cricket Gro ,ODI,c & b C White              ,   4,15.76, 9,44.4444444444,0
Abdur Razzak,2/09/2008 ,AUS,Marrara Cricket Gro ,ODI,c M Clarke b C White       ,   9,15.50,26,34.6153846154,0
Abdur Razzak,6/09/2008 ,AUS,Marrara Cricket Gro ,ODI,b D Hussey                 ,  14,15.44,36,38.8888888889,0
Abdur Razzak,9/10/2008 ,NZL,Shere Bangla Stadium,ODI, DNB,0,15.44,0,0,0
Abdur Razzak,11/10/2008,NZL,Shere Bangla Stadium,ODI,b J Oram                   ,   3,15.00, 3,100.0,0
Abdur Razzak,14/10/2008,NZL,Zahur Ahmed Stadium ,ODI,c B McCullum b J Ryder     ,  27,15.41,31,87.0967741935,0
Abdur Razzak,7/11/2008 ,SAF,Senwes Park         ,ODI,c J Kallis b M Morkel      ,   0,14.90, 2,0.0,0
Abdur Razzak,9/11/2008 ,SAF,Willowmoore Park    ,ODI,not out                    ,20,15.57,30,66.6666666667,1
Abdur Razzak,26/07/2009,WIN,Windsor Park        ,ODI,lbw b K Roach              ,   0,15.06, 2,0.0,0
Abdur Razzak,28/07/2009,WIN,Windsor Park        ,ODI,not out                    ,11,15.42,10,110.0,1
Abdur Razzak,31/07/2009,WIN,Warner Park         ,ODI,not out                    ,6,15.61, 5,120.0,1
Abdur Razzak,27/10/2009,ZIM,Shere Bangla Stadium,ODI,c P Utseya b A Cremer      ,   3,15.22,10,30.0,0
Abdur Razzak,29/10/2009,ZIM,Shere Bangla Stadium,ODI, DNB,0,15.22,0,0,0
Abdur Razzak,31/10/2009,ZIM,Shere Bangla Stadium,ODI, DNB,0,15.22,0,0,0
Abdur Razzak,3/11/2009 ,ZIM,Zahur Ahmed Stadium ,ODI, DNB,0,15.22,0,0,0
Abdur Razzak,5/11/2009 ,ZIM,Zahur Ahmed Stadium ,ODI,c F Mutizwa b C Chibhabha  ,   0,14.76, 2,0.0,0
Abdur Razzak,4/01/2010 ,SRL,Shere Bangla Stadium,ODI,not out                    ,1,14.79, 2,50.0,1
Abdur Razzak,7/01/2010 ,IND,Shere Bangla Stadium,ODI, DNB,0,14.79,0,0,0
Abdur Razzak,8/01/2010 ,SRL,Shere Bangla Stadium,ODI,run out                    ,   1,14.38, 1,100.0,0
Abdur Razzak,11/01/2010,IND,Shere Bangla Stadium,ODI, DNB,0,14.38,0,0,0
Abdur Razzak,28/02/2010,ENG,Shere Bangla Stadium,ODI,c A Cook b R Sidebottom    ,   2,14.03,10,20.0,0
Abdur Razzak,2/03/2010 ,ENG,Shere Bangla Stadium,ODI, DNB,0,14.03,0,0,0
Abdur Razzak,5/03/2010 ,ENG,Zahur Ahmed Stadium ,ODI,not out                    ,17,14.51,18,94.4444444444,1
Abdur Razzak,21/06/2010,PAK,Rangiri Dambulla Std,ODI, DNB,0,14.51,0,0,0
Abdur Razzak,8/07/2010 ,ENG,Trent Bridge        ,ODI,b T Bresnan                ,   3,14.19, 4,75.0,0
Abdur Razzak,10/07/2010,ENG,Royal & Sun All. Gr ,ODI,not out                    ,1,14.22, 2,50.0,1
Abdur Razzak,12/07/2010,ENG,Edgbaston           ,ODI,c T Bresnan b R Bopara     ,  27,14.57,33,81.8181818182,0
Abdur Razzak,15/07/2010,IRE,Civil Service C C   ,ODI,not out                    ,9,14.81,13,69.2307692308,1
Abdur Razzak,16/07/2010,IRE,Civil Service C C   ,ODI, DNB,0,14.81,0,0,0
Abdur Razzak,20/07/2010,NED,Titwood             ,ODI, DNB,0,14.81,0,0,0
Abdur Razzak,5/10/2010 ,NZL,Shere Bangla Stadium,ODI,c J Ryder b A McKay        ,   1,14.45, 3,33.3333333333,0
Abdur Razzak,11/10/2010,NZL,Shere Bangla Stadium,ODI, DNB,0,14.45,0,0,0
Abdur Razzak,14/10/2010,NZL,Shere Bangla Stadium,ODI,c D Vettori b D Tuffey     ,   7,14.26, 6,116.666666667,0
Abdur Razzak,17/10/2010,NZL,Shere Bangla Stadium,ODI,c B McCullum b A McKay     ,   2,13.95, 4,50.0,0
Abdur Razzak,1/12/2010 ,ZIM,Shere Bangla Stadium,ODI,not out                    ,5,14.08, 6,83.3333333333,1
Abdur Razzak,3/12/2010 ,ZIM,Shere Bangla Stadium,ODI, DNB,0,14.08,0,0,0
Abdur Razzak,6/12/2010 ,ZIM,Shere Bangla Stadium,ODI, DNB,0,14.08,0,0,0
Abdur Razzak,12/12/2010,ZIM,Zahur Ahmed Stadium ,ODI, DNB,0,14.08,0,0,0
Abdur Razzak,19/02/2011,IND,Shere Bangla Stadium,ODI,lbw b Zaheer Khan          ,   1,13.76, 5,20.0,0
Abdur Razzak,25/02/2011,IRE,Shere Bangla Stadium,ODI,b D Johnston               ,  11,13.69,16,68.75,0
Abdur Razzak,4/03/2011 ,WIN,Shere Bangla Stadium,ODI,not out                    ,2,13.74, 6,33.3333333333,1
Abdur Razzak,11/03/2011,ENG,Zahur Ahmed Stadium ,ODI,c T Bresnan b G Swann      ,   1,13.44, 5,20.0,0
Abdur Razzak,14/03/2011,NED,Zahur Ahmed Stadium ,ODI, DNB,0,13.44,0,0,0
Abdur Razzak,19/03/2011,SAF,Shere Bangla Stadium,ODI,c R Peterson b Imran Tahir ,   0,13.14, 2,0.0,0
Abdur Razzak,9/04/2011 ,AUS,Shere Bangla Stadium,ODI, DNB,0,13.14,0,0,0
Abdur Razzak,11/04/2011,AUS,Shere Bangla Stadium,ODI, DNB,0,13.14,0,0,0
Abdur Razzak,13/04/2011,AUS,Shere Bangla Stadium,ODI, DNB,0,13.14,0,0,0
Abdur Razzak,12/08/2011,ZIM,Harare Sports Club  ,ODI,c B Taylor b R Price       ,   0,12.84, 3,0.0,0
Abdur Razzak,14/08/2011,ZIM,Harare Sports Club  ,ODI,b B Vitori                 ,  35,13.33,32,109.375,0
Abdur Razzak,19/08/2011,ZIM,Queens Sports Club  ,ODI, DNB,0,13.33,0,0,0
Abdur Razzak,21/08/2011,ZIM,Queens Sports Club  ,ODI, DNB,0,13.33,0,0,0
Abdur Razzak,13/10/2011,WIN,Shere Bangla Stadium,ODI,not out                    ,8,13.50,13,61.5384615385,1
Abdur Razzak,15/10/2011,WIN,Shere Bangla Stadium,ODI,run out                    ,  25,13.74,19,131.578947368,0
