 Jamie M How,How, Jamie M, New Zealand,19,41,5
 Anthony B Howard,Howard, Anthony B, West Indies,1,  ,  
 Nigel D Howard,Howard, Nigel D, England,4,  ,  
 Geoffrey P Howarth,Howarth, Geoffrey P, New Zealand,47,70,  
 Hedley J Howarth,Howarth, Hedley J, New Zealand,30,9,  
 Henry Howell,Howell, Henry, England,5,  ,  
 Llorne G Howell,Howell, Llorne G, New Zealand,  ,12,  
 William P Howell,Howell, William P, Australia,18,  ,  
 Richard Howorth,Howorth, Richard, England,5,  ,  
 Adam G Huckle,Huckle, Adam G, Zimbabwe,8,19,  
 Andrew C Hudson,Hudson, Andrew C, South Africa,35,89,  
 Kimberley J Hughes,Hughes, Kimberley J, Australia,70,97,  
 Mervyn G Hughes,Hughes, Mervyn G, Australia,53,33,  
 Philip J Hughes,Hughes, Philip J, Australia,14,  ,  
 Humayun Farhat,Humayun Farhat,, Pakistan,1,5,  
 Geoffrey W Humpage,Humpage, Geoffrey W, England,  ,3,  
 Joseph Humphries,Humphries, Joseph, England,3,  ,  
 William A Hunt,Hunt, William A, Australia,1,  ,  
 Conrad C Hunte,Hunte, Conrad C, West Indies,44,  ,  
 Errol A C Hunte,Hunte, Errol A C, West Indies,3,  ,  
 Joseph Hunter,Hunter, Joseph, England,5,  ,  
 Kevin A D Hurdle,Hurdle, Kevin A D, Bermuda,  ,19,  
 Ryan O Hurley,Hurley, Ryan O, West Indies,  ,9,  
 Alan G Hurst,Hurst, Alan G, Australia,12,8,  
 Alexander Hurwood,Hurwood, Alexander, Australia,2,  ,  
 Nasser Hussain,Hussain, Nasser, England,96,88,  
 Rana Omer Hussain,Hussain, Rana Omer, Scotland,  ,8,  
 David J Hussey,Hussey, David J, Australia,  ,39,32
 Michael E K Hussey,Hussey, Michael E K, Australia,63,166,27
 Kenneth L Hutchings,Hutchings, Kenneth L, England,7,  ,  
 Philip Hutchinson,Hutchinson, Philip, South Africa,2,  ,  
 Leonard Hutton,Hutton, Leonard, England,79,  ,  
 Richard A Hutton,Hutton, Richard A, England,5,  ,  
 Danza P Hyatt,Hyatt, Danza P, West Indies,  ,5,4
 Leslie G Hylton,Hylton, Leslie G, West Indies,6,  ,  
