 Nitish R Kumar ,Kumar , Nitish R, Canada,  ,10,  
 Praveen Kumar,Kumar, Praveen, India,6,61,7
 Vaman V Kumar,Kumar, Vaman V, India,2,  ,  
 Thirunavukkar A S U Kumaran,Kumaran, Thirunavukkar A S U, India,  ,8,  
 Anil Kumble,Kumble, Anil, India,132,271,  
 Budhisagar K Kunderan,Kunderan, Budhisagar K, India,18,  ,  
 Don S B P Kuruppu,Kuruppu, Don S B P, Sri Lanka,4,54,  
 Ajith K Kuruppuarachchi,Kuruppuarachchi, Ajith K, Sri Lanka,2,  ,  
 Abey Kuruvilla,Kuruvilla, Abey, India,10,25,  
 Frederick Kuys,Kuys, Frederick, South Africa,1,  ,  
 Kwame Tucker,Kwame Tucker,, Bermuda,  ,12,  
