 Ian D R Bradshaw,Bradshaw, Ian D R, West Indies,5,62,1
 David H Brain,Brain, David H, Zimbabwe,9,23,  
 Carlos R Braithwaite,Braithwaite, Carlos R, West Indies,3,1,1
 Eddo A Brandes,Brandes, Eddo A, Zimbabwe,10,59,  
 William H Brann,Brann, William H, South Africa,3,  ,  
 Kraigg C Brathwaite,Brathwaite, Kraigg C, West Indies,1,  ,  
 Leonard C Braund,Braund, Leonard C, England,23,  ,  
 Darren M Bravo,Bravo, Darren M, West Indies,11,31,4
 Dwayne J J Bravo,Bravo, Dwayne J J, West Indies,40,117,22
 Jeremy P Bray,Bray, Jeremy P, Ireland,  ,15,2
 John M Brearley,Brearley, John M, England,39,25,  
 Walter Brearley,Brearley, Walter, England,4,  ,  
 Gareth R Breese,Breese, Gareth R, West Indies,1,  ,  
 Donald V Brennan,Brennan, Donald V, England,2,  ,  
 Gary B Brent,Brent, Gary B, Zimbabwe,4,70,3
 Timothy T Bresnan,Bresnan, Timothy T, England,10,57,20
 Gavin A Briant,Briant, Gavin A, Zimbabwe,1,5,  
 John Briggs,Briggs, John, England,33,  ,  
 Raymond J Bright,Bright, Raymond J, Australia,25,11,  
 James E Brinkley,Brinkley, James E, Scotland,  ,5,  
 Arthur W Briscoe,Briscoe, Arthur W, South Africa,2,  ,  
 Samuel A Britton,Britton, Samuel A, Ireland,  ,1,  
 Brian C Broad,Broad, Brian C, England,25,34,  
 Stuart C J Broad,Broad, Stuart C J, England,41,84,31
 William Brockwell,Brockwell, William, England,7,  ,  
 Henry D Bromfield,Bromfield, Henry D, South Africa,9,  ,  
 Ernest H Bromley,Bromley, Ernest H, Australia,2,  ,  
 Hugh R Bromley-Davenport,Bromley-Davenport, Hugh R, England,4,  ,  
 Dennis Brookes,Brookes, Dennis, England,1,  ,  
 Neil T Broom,Broom, Neil T, New Zealand,  ,22,9
 Alan Brown,Brown, Alan, England,2,  ,  
 Alistair D Brown,Brown, Alistair D, England,  ,16,  
 Darryl Brown,Brown, Darryl, West Indies,  ,3,  
 David J Brown,Brown, David J, England,26,  ,  
 Douglas R Brown,Brown, Douglas R, England,  ,25,1
 Frederick R Brown,Brown, Frederick R, England,22,  ,  
 George Brown,Brown, George, England,7,  ,  
 John T Brown,Brown, John T, England,8,  ,  
 Lennox S Brown,Brown, Lennox S, South Africa,2,  ,  
 Robin D Brown,Brown, Robin D, Zimbabwe,  ,7,  
 Simon J E Brown,Brown, Simon J E, England,1,  ,  
 Vaughan R Brown,Brown, Vaughan R, New Zealand,2,3,  
 William A Brown,Brown, William A, Australia,22,  ,  
 Barrington S Browne,Browne, Barrington S, West Indies,  ,4,  
 Courtney O Browne,Browne, Courtney O, West Indies,20,46,  
 Cyril R Browne,Browne, Cyril R, West Indies,4,  ,  
 Patrick A Browne,Browne, Patrick A, West Indies,  ,5,  
 Dean G Brownlie,Brownlie, Dean G, New Zealand,1,  ,2
 William Bruce,Bruce, William, Australia,14,  ,  
 Glen K Bruk-Jackson,Bruk-Jackson, Glen K, Zimbabwe,2,1,  
 Henderson R Bryan,Bryan, Henderson R, West Indies,  ,15,  
 Rudi E Bryson,Bryson, Rudi E, South Africa,  ,7,  
 Claude P Buckenham,Buckenham, Claude P, England,4,  ,  
 Carl E Bulfin,Bulfin, Carl E, New Zealand,  ,4,  
 Peter J P Burge,Burge, Peter J P, Australia,42,  ,  
 Andries J Burger,Burger, Andries J, Namibia,  ,6,  
 Christopher G De V Burger,Burger, Christopher G De V, South Africa,2,  ,  
 Louis J Burger,Burger, Louis J, Namibia,  ,6,  
 Sarel F Burger,Burger, Sarel F, Namibia,  ,2,  
 Mark G Burgess,Burgess, Mark G, New Zealand,50,26,  
 Cecil Burke,Burke, Cecil, New Zealand,1,  ,  
 James W Burke,Burke, James W, Australia,24,  ,  
 Sydney F Burke,Burke, Sydney F, South Africa,2,  ,  
 Mark G Burmester,Burmester, Mark G, Zimbabwe,3,8,  
 Kenneth E Burn,Burn, Kenneth E, Australia,2,  ,  
 Frederick J Burton,Burton, Frederick J, Australia,2,  ,  
 Thomas B Burtt,Burtt, Thomas B, New Zealand,10,  ,  
 Iain P Butchart,Butchart, Iain P, Zimbabwe,1,20,  
 Alan R Butcher,Butcher, Alan R, England,1,1,  
 Basil F Butcher,Butcher, Basil F, West Indies,44,  ,  
 Mark A Butcher,Butcher, Mark A, England,71,  ,  
 Roland O Butcher,Butcher, Roland O, England,3,3,  
 Deighton C Butler,Butler, Deighton C, West Indies,  ,5,1
 Harold J Butler,Butler, Harold J, England,2,  ,  
 Ian G Butler,Butler, Ian G, New Zealand,8,26,15
 Lennox S Butler,Butler, Lennox S, West Indies,1,  ,  
 Harry R Butt,Butt, Harry R, England,3,  ,  
 K Hussain Butt,Butt, K Hussain, Hong Kong,  ,2,  
 Leornard A Butterfield,Butterfield, Leornard A, New Zealand,1,  ,  
 Clyde G Butts,Butts, Clyde G, West Indies,7,  ,  
 Atse F Buurman,Buurman, Atse F, Netherlands,  ,17,4
 Izak D Buys,Buys, Izak D, South Africa,1,  ,  
 Michael R Bynoe,Bynoe, Michael R, West Indies,4,  ,  
